Channel Name,Video URL,Views,Likes,Dislikes,Title,# Of Title Chars,# Of Description Chars
bald and bankrupt,https://www.youtube.com/watch?v=n7IIk--Y2hE,"1,407,524 views",42K,494,Russian Villager Shocked By His Selfie!,39,315
bald and bankrupt,https://www.youtube.com/watch?v=K89GTQ03bCQ,"1,436,870 views",45K,670,I Scared A Russian Babushka...,30,138
bald and bankrupt,https://www.youtube.com/watch?v=0Qwz8Q4BBrk,"1,070,072 views",40K,414,Village Babushka Dances For Englishman In Russia,48,220
bald and bankrupt,https://www.youtube.com/watch?v=ypjP7rTc-b4,"2,467,382 views",69K,1.4K,Would You Ride This Russian Train?,34,262
bald and bankrupt,https://www.youtube.com/watch?v=BUl6vXvAa8I,"1,424,770 views",33K,832,Would You Do This?,18,188
bald and bankrupt,https://www.youtube.com/watch?v=-4kzBmmGyhA,"2,223,648 views",81K,1.3K,Party In A Ukrainian Soviet Village!,36,237
bald and bankrupt,https://www.youtube.com/watch?v=cG4aYsvgchA,"2,492,462 views",51K,1.6K,Partying In Europe's Biggest Slum | Lunik IX,44,412
bald and bankrupt,https://www.youtube.com/watch?v=6LunxfjFkgk,"1,992,958 views",39K,885,Visiting The Witch Doctor,25,372
bald and bankrupt,https://www.youtube.com/watch?v=UeoYqP_2irI,"1,282,179 views",28K,513,The Worst Fisherwoman On The Black Sea!,39,259
bald and bankrupt,https://www.youtube.com/watch?v=im_l1NA-AmM,"1,085,443 views",29K,655,I Found Europe's Strangest Town!,32,225
bald and bankrupt,https://www.youtube.com/watch?v=yjF4jiOOdPY,"1,461,490 views",39K,589,She Has Lived In This Hotel For 25 Years!,41,516
bald and bankrupt,https://www.youtube.com/watch?v=BC7Oe0jB3dA,"3,278,624 views",43K,1.6K,Slavic Girl Meets Georgian Man,30,284
bald and bankrupt,https://www.youtube.com/watch?v=gICk1Wc2cfw,"804,798 views",21K,1.2K,I Gave A Lada Taxi Driver $3 And Said Drive!,44,383
bald and bankrupt,https://www.youtube.com/watch?v=KAU13mL1fr0,"1,601,932 views",36K,1.1K,Caught Sneaking Into Stalin's Sanatorium!,41,322
bald and bankrupt,https://www.youtube.com/watch?v=E7-hZYnQV7E,"1,022,721 views",31K,842,This Is Georgia...Get Ready!,28,228
bald and bankrupt,https://www.youtube.com/watch?v=V47PzGpmwXo,"1,331,682 views",35K,1.1K,Stalin's Soviet Theme Park!,27,211
bald and bankrupt,https://www.youtube.com/watch?v=XkEh-6v6rDU,"2,613,504 views",49K,1.8K,Don't Do This In Russia!,24,172
bald and bankrupt,https://www.youtube.com/watch?v=31TPCwAcWLw,"1,438,806 views",42K,1.4K,Hidden Rooms In Moscow's Soviet Hotel,37,250
bald and bankrupt,https://www.youtube.com/watch?v=10m7VezKN-4,"3,042,238 views",51K,1.3K,You Must Do THIS On Russian Trains!,35,153
bald and bankrupt,https://www.youtube.com/watch?v=PgzwGjaTr98,"2,280,672 views",47K,885,The Secret Soviet Nuclear Bunker 🇲🇩,35,216
bald and bankrupt,https://www.youtube.com/watch?v=lbThP55CtoQ,"1,873,208 views",73K,525,Return To The Last House In The Chernobyl Zone 🇧🇾,49,280
bald and bankrupt,https://www.youtube.com/watch?v=q37qWA2cL5w,"4,899,182 views",107K,2.6K,Chernobyl Village BBQ Gone Wrong! 🇧🇾,36,322
bald and bankrupt,https://www.youtube.com/watch?v=FcOS4q0RD-w,"4,313,929 views",113K,1.1K,The Last House In The Chernobyl Village,39,302
bald and bankrupt,https://www.youtube.com/watch?v=ISToBIkSNbM,"3,574,123 views",122K,1.2K,Return To The Belarus Chernobyl Zone...With Shopping Bags 🇧🇾,60,304
bald and bankrupt,https://www.youtube.com/watch?v=42DzIDtMJlY,"2,372,851 views",65K,2.2K,Could You Pass The Russian Gopnik Test?!,40,258
bald and bankrupt,https://www.youtube.com/watch?v=JOrjRU091Hk,"1,730,449 views",35K,1K,Punched By Moldova's Toughest BOMZH,35,296
bald and bankrupt,https://www.youtube.com/watch?v=50pQHccrlHg,"2,259,891 views",78K,776,I Got Drunk With Babushkas 🍷,28,278
bald and bankrupt,https://www.youtube.com/watch?v=5kVnrqBb6y4,"4,391,887 views",130K,1.7K,This Country Does Not Exist! | Transnistria,43,226
bald and bankrupt,https://www.youtube.com/watch?v=OYHMCMz47L4,"1,671,653 views",50K,672,The Road To Ratus 🇲🇩,20,214
bald and bankrupt,https://www.youtube.com/watch?v=wnDxHTaeNX0,"7,833,284 views",186K,7.2K,Nobody Visits This Country...Find Out Why,41,344
bald and bankrupt,https://www.youtube.com/watch?v=DB2uXh0YMJk,"1,158,232 views",26K,407,🇧🇾 Goodbye Belarus,18,254
bald and bankrupt,https://www.youtube.com/watch?v=fok2JbaUidU,"1,980,206 views",44K,1K,The Gangs Of Chechersk 🇧🇾,25,340
bald and bankrupt,https://www.youtube.com/watch?v=aIC73xZPLgU,"4,326,765 views",94K,1.8K,Inside The Belarus Chernobyl Zone 🇧🇾,36,343
bald and bankrupt,https://www.youtube.com/watch?v=4qTE7bapkTw,"1,707,425 views",33K,764,I Stayed In Europe's Cheapest Hotel! 🇧🇾,39,268
bald and bankrupt,https://www.youtube.com/watch?v=oaletsYICyI,"3,633,893 views",83K,1.3K,Drinking Vodka In A Soviet Apartment...What Could Go Wrong?!,60,216
bald and bankrupt,https://www.youtube.com/watch?v=rPprbc0U8yU,"3,147,453 views",57K,1.6K,You Won't Believe This Is Europe In 2019! 🇧🇾,44,302
bald and bankrupt,https://www.youtube.com/watch?v=YpCSXFZa0JQ,"1,558,405 views",28K,503,Lost In Deepest Belarus 🇧🇾,26,446
