Channel Name,Video URL,Video ID,Views,Likes,Dislikes,Title,# Of Title Chars,# Of Description Chars
Joma Tech,https://www.youtube.com/watch?v=Qd2Kh80ZK6k,Qd2Kh80ZK6k,"522,856 views",11K,242,Interview with a Quant from Two Sigma (My brother),50,134
Joma Tech,https://www.youtube.com/watch?v=RZsFHyKxir4,RZsFHyKxir4,"169,133 views",4.9K,64,STARTUP EP 06 | The Substitute,30,134
Joma Tech,https://www.youtube.com/watch?v=le_NLSXWt1E,le_NLSXWt1E,"248,691 views",9.9K,165,5 Tips To Improve Productivity,30,134
Joma Tech,https://www.youtube.com/watch?v=2PzkEcYJUQw,2PzkEcYJUQw,"100,375 views",3.1K,76,Sexy Javascript Coding Part 2 + I'm moving out,46,134
Joma Tech,https://www.youtube.com/watch?v=_wNNDPp9Hh8,_wNNDPp9Hh8,"310,250 views",4.6K,400,there's someone I'd like you to meet...,39,134
Joma Tech,https://www.youtube.com/watch?v=4FMdbwDdHlw,4FMdbwDdHlw,"543,786 views",10K,309,Software Engineering Q&A While Cooking! (ft. Mayuko!),53,134
Joma Tech,https://www.youtube.com/watch?v=0eIY5b0RKE0,0eIY5b0RKE0,"295,413 views",8.5K,200,Cool Kids Code In Javascript (with SEXY CODING FOOTAGE),55,134
Joma Tech,https://www.youtube.com/watch?v=OnXlnd3JB-8,OnXlnd3JB-8,"205,816 views",4.7K,146,16-Year-Old Learns How To Code,30,134
Joma Tech,https://www.youtube.com/watch?v=N0g41nsczBU,N0g41nsczBU,"75,824 views",1.4K,49,Silicon Valley Engineers/Product Managers Cook Off!,51,134
Joma Tech,https://www.youtube.com/watch?v=6XkFKadpJws,6XkFKadpJws,"68,334 views",1.7K,45,A Day In The Life Of A YouTuber (Realistically...),50,134
Joma Tech,https://www.youtube.com/watch?v=2vn9PlLemwg,2vn9PlLemwg,"299,423 views",7K,180,Top 10 Software Engineering Internships (Salaries Revealed!),60,134
Joma Tech,https://www.youtube.com/watch?v=WxSV3NEPbEY,WxSV3NEPbEY,"107,879 views",2K,125,Computer Science New Grad Apartment Tour in Silicon Valley,58,134
Joma Tech,https://www.youtube.com/watch?v=vX-QPzNppGY,vX-QPzNppGY,"157,719 views",4.5K,96,STARTUP EP 05 | Dealing With Competition And Marketing,54,134
Joma Tech,https://www.youtube.com/watch?v=MfP-P8EHGBo,MfP-P8EHGBo,"579,482 views",19K,350,5 Tips For Getting A Data Science Job,37,134
Joma Tech,https://www.youtube.com/watch?v=C8zoh-1f9AU,C8zoh-1f9AU,"210,336 views",3.8K,171,"Software Engineers ""Work"" From Home Snowboarding",48,134
Joma Tech,https://www.youtube.com/watch?v=mftLdnylb1k,mftLdnylb1k,"69,352 views",1.4K,41,"Engineers Stay For $1,000/Night On Ski Trip (Airbnb)",52,134
Joma Tech,https://www.youtube.com/watch?v=4d5q9bqRmq8,4d5q9bqRmq8,"99,078 views",4.2K,74,Best Year Of My Life - Keep Grinding,36,134
Joma Tech,https://www.youtube.com/watch?v=65yjBKfefj8,65yjBKfefj8,"222,935 views",4.5K,117,Interview with a Software Engineer without CS Degree,52,134
Joma Tech,https://www.youtube.com/watch?v=gTEHbBBl_dY,gTEHbBBl_dY,"259,884 views",6.9K,115,STARTUP EP 04 | Engineers Build A Startup MVP,45,134
Joma Tech,https://www.youtube.com/watch?v=xdcG1M6dy58,xdcG1M6dy58,"36,649 views",1.6K,33,"How To Get Your First 25,000 Subscribers in 2 Months",52,134
Joma Tech,https://www.youtube.com/watch?v=ZpDyGKDG_Go,ZpDyGKDG_Go,"14,489 views",434,15,Startup Episode 4 Teaser,24,134
Joma Tech,https://www.youtube.com/watch?v=_p64_S4bbjU,_p64_S4bbjU,"507,473 views",8.2K,266,Interview with a Software Engineer from Stanford,48,134
Joma Tech,https://www.youtube.com/watch?v=hWFDujYzvbI,hWFDujYzvbI,"1,415,027 views",22K,1.1K,A Day In The Life Of Silicon Valley Engineers,45,134
Joma Tech,https://www.youtube.com/watch?v=1-Iu__4R_b0,1-Iu__4R_b0,"243,829 views",6.4K,100,STARTUP EP 03 | Rival Startup Founders Play An Intense Chess Game,65,134
Joma Tech,https://www.youtube.com/watch?v=9UMoVsK0644,9UMoVsK0644,"187,908 views",2.9K,116,Engineers Answer Your Software Engineering Questions,52,134
Joma Tech,https://www.youtube.com/watch?v=Ru8s5qjMKdU,Ru8s5qjMKdU,"136,872 views",2.9K,65,How I Got An Internship At LinkedIn,35,134
Joma Tech,https://www.youtube.com/watch?v=L1OZoY93qhk,L1OZoY93qhk,"22,071 views",400,9,Software Engineers Go Snowboarding,34,134
Joma Tech,https://www.youtube.com/watch?v=hGDJkqESz0k,hGDJkqESz0k,"565,519 views",13K,329,STARTUP EP 02 | Bitcoin Millionaire Pitches His Startup Idea (Sold 114 BTC for $1.6M),85,134
Joma Tech,https://www.youtube.com/watch?v=GXKI84KKVI8,GXKI84KKVI8,"152,640 views",2.9K,74,How I Got An Internship At Citadel,34,134
Joma Tech,https://www.youtube.com/watch?v=t6lBeG5QaC4,t6lBeG5QaC4,"529,444 views",9.6K,346,Interview with an iOS Engineer (ft. Mayuko),43,134
Joma Tech,https://www.youtube.com/watch?v=02AXP5eI6PE,02AXP5eI6PE,"224,818 views",5.2K,114,How I Landed My First Engineering Internship,44,134
Joma Tech,https://www.youtube.com/watch?v=kZC12U6EhTc,kZC12U6EhTc,"1,516,155 views",35K,1K,STARTUP EP 01 | Ex Facebook Engineer Starts His First Startup Vlog,66,134
